Date,Open,High,Low,Close,Adj Close,Volume
2/12/2021,128,128.130005,126.580002,127.620003,118.432419,8407300
2/16/2021,127.970001,128.169998,126.989998,127.919998,118.710808,8246000
2/17/2021,127.190002,129.490005,127.110001,128.460007,119.211945,8845200
2/18/2021,127.809998,129.850006,127.589996,129.529999,120.204887,6936400
2/19/2021,129.350006,129.440002,127.019997,127.120003,117.968407,8277900
2/22/2021,126.790001,127.239998,126.379997,126.580002,117.46727,6975500
2/23/2021,127.779999,129.929993,127.190002,127.519997,118.339607,10145300
2/24/2021,127.349998,128.240005,126.910004,127.660004,118.469551,7263000
2/25/2021,127.489998,128.990005,126.290001,126.580002,117.46727,7790800
2/26/2021,126.540001,126.93,121.82,123.529999,114.636856,17718800
3/1/2021,124.160004,125.489998,124,124.290001,115.34214,7740200
3/2/2021,123.870003,124.860001,123.43,123.900002,114.980225,10206500
3/3/2021,123.769997,124.199997,122.790001,123.160004,114.293503,7537000
3/4/2021,123.099998,124.769997,121.540001,122.150002,113.356209,10228100
3/5/2021,122.760002,126.330002,122.550003,125.980003,116.910477,10490900
3/8/2021,125.760002,128.899994,125.32,127.309998,118.14473,9224700
3/9/2021,127.650002,128.919998,126.059998,126.18,117.096077,8859700
3/10/2021,126.150002,128.419998,125.470001,127.339996,118.172592,9070900
3/11/2021,127.129997,127.849998,126.720001,126.910004,117.773521,6941500
3/12/2021,127.650002,128.820007,127.650002,128.139999,118.91497,6521900
3/15/2021,128.389999,129.039993,127.190002,128.559998,119.304741,7172600
3/16/2021,128.509995,129.979996,128.509995,128.940002,119.657387,6485200
3/17/2021,129.110001,129.839996,128.350006,128.419998,119.174828,6192900
3/18/2021,128.210007,129.039993,127.040001,128.699997,119.434662,6871300
3/19/2021,129.100006,129.740005,127.900002,128.009995,118.794319,20262100
3/22/2021,128.009995,130.889999,128.009995,130.179993,120.808113,8077600
3/23/2021,130.410004,133.289993,129.990005,132.600006,123.053902,9503800
3/24/2021,130.940002,133.139999,130.619995,132.559998,123.016785,8318000
3/25/2021,133.089996,133.619995,132.050003,133.479996,123.870544,7517300
3/26/2021,133.220001,135.610001,132.479996,135.449997,125.6987,10821200
3/29/2021,135,137.600006,135,137.570007,127.666107,11176000
3/30/2021,136.610001,137,135.139999,135.449997,125.6987,8090600
3/31/2021,135.679993,136.75,135.259995,135.429993,125.680122,9202600
4/1/2021,135.050003,135.479996,133.330002,134.279999,124.612961,9117800
4/5/2021,134.960007,137.25,134.729996,136.449997,126.62674,8279100
4/6/2021,136,137.020004,135.639999,136.5,126.673134,6180600
4/7/2021,137.119995,137.330002,136.25,136.740005,126.895844,10244500
4/8/2021,136.899994,137.630005,136.589996,137.259995,127.378426,6190300
4/9/2021,136.509995,137.270004,135.559998,136.369995,126.55249,5855400
4/12/2021,136.5,137.039993,135.710007,136.919998,127.062874,6440900
4/13/2021,136.020004,136.389999,134.839996,135.110001,125.383194,9161200
4/14/2021,135.520004,135.789993,134.580002,135.600006,125.837906,7584000
4/15/2021,135.970001,137.759995,135.869995,137.240005,127.359863,7945300
4/16/2021,137.610001,137.899994,136.880005,137.25,127.369148,7708500
4/19/2021,136.940002,137.080002,135.389999,136.610001,126.775208,9149400
4/20/2021,134.839996,138.589996,133.529999,137.75,127.83313,10040500
4/21/2021,137.889999,138.570007,136.600006,136.850006,126.99791,8465900
4/22/2021,135.369995,135.789993,134.059998,134.630005,125.737099,7338300
4/23/2021,134.929993,135.080002,133.25,133.940002,125.092659,6708300
4/26/2021,133.490005,133.759995,131.169998,131.259995,122.589684,9910600
4/27/2021,131.240005,131.889999,130.289993,131.179993,122.514969,8296800
4/28/2021,131.710007,131.850006,130.880005,131.399994,122.720451,6262800
4/29/2021,131.309998,132.990005,131.309998,132.509995,123.757126,6786800
4/30/2021,132.75,133.669998,132.259995,133.419998,124.607018,9188600
5/3/2021,134.029999,135.679993,134.029999,135,126.082664,8070300
5/4/2021,134.979996,135.830002,134.210007,134.539993,125.65303,9624000
5/5/2021,134.369995,134.970001,133.369995,133.460007,124.644402,8295900
5/6/2021,134.009995,135.369995,133.919998,135.139999,126.213394,9771100
5/7/2021,135.080002,136.029999,134.759995,135.149994,126.22274,6299100
5/10/2021,135.889999,138.419998,135.690002,137.669998,128.576309,8852700
5/11/2021,138.490005,138.789993,136.470001,136.990005,127.9412,10973700
5/12/2021,136.490005,137,135.490005,135.539993,126.58696,8853700
5/13/2021,135.889999,138.529999,135.389999,137.720001,128.623001,8753600
5/14/2021,137.669998,139.100006,137.669998,138.009995,128.893829,5989500
5/17/2021,137.970001,139.070007,137.610001,137.729996,128.632355,7690700
